userName,score,at,content
Deja Vu,5,2026-05-10 07:51:43,"Aplikasi belanja nomor 1 di Indonesia krn kemudahan transaksinya, tdk perlu belanja 50 ribu agar free ongkir. Didukung pembiayaan paylater yg bagus, tdk mengenakan bunga jika dibayar bulan depannya, beda sekali dgn gopay later. ... Setelah update besar kemarin ada perubahan di status transaksi dan masih ada bug nya, transaksi yg sdh lama selesai, selalu muncul notifikasi akan dikirim hari ini terus.."
Marta Lestari8,1,2026-05-10 07:50:45,aplikasi terburuk.. paket gak dateng dateng.. ujung ujungnya tanpa pemberitahuan diretur.. udah 2 kali kejadian.. mending gak usah pakai shopee.. kalo gak niat kirim gak usah nawarin jasa kirim kalo ujung ujungnya bikin kecewa
rusli dkb,5,2026-05-10 07:48:59,mantap
Salbia Pnk,5,2026-05-10 07:48:18,bagusss bangeeet
Masz imron #31,1,2026-05-10 07:48:04,"kurirnya yang kerja di spx sokobanah 3hub tidak ada konfirmasi,dan paket di retur tanpa adanya konfirmasi terlebih dahulu,"
Perdi Febrio,1,2026-05-10 07:41:41,"Iklan mengganggu, dipaksa buka aplikasi, iklannya juga lama, tidka bisa diskip,"
Wiekoag 92,5,2026-05-10 07:38:34,lebih baik dari sebelah
Hanif Ramadhan PC,5,2026-05-10 07:37:33,Good
Pemula Gamer's,1,2026-05-10 07:33:34,"main shopee koin, udh dpt nya kecil, dpt susah juga, mending di hapus aja,"
Reno Barak,5,2026-05-10 07:33:27,so good
ucu halimah,5,2026-05-10 07:31:36,keren
Meiko Bukusu,5,2026-05-10 07:31:32,good
Yunita Nita,5,2026-05-10 07:31:10,"saya senang berbelanja di shopee,harga terjangkau dan cepat pengiriman nya."
Riska Afriyanti,4,2026-05-10 07:25:34,best
bain benz,1,2026-05-10 07:21:12,banyak yang tak sesuai
Gama Dwipa,1,2026-05-10 07:19:20,"makin kedepan shopee,makin super lelet pengantarannya.harus nunngu seminggu baru sampai paket nya.bikin kecewa pelanggan kalo terus seperti ini."
Usman Duatiga,4,2026-05-10 07:18:15,mudan dan enak belanja
Zulkarmisan Bin Majid,5,2026-05-10 07:17:33,mantap
abdullah habib,2,2026-05-10 07:17:32,biaya pelayanan terlalu besar.
Intan Desa,5,2026-05-10 07:15:47,ragam barang termasuk IT dan inovasi yang lengkap dengan harga mix yang seperti diobral dalam mempertahankan user dan penjual..= cerdas 👍👍👍👍👍
Kucing usil,4,2026-05-10 07:15:23,"kenapa di bulan ini pesanan saya banyak yang stuck bahkan sampe telat melebihi estimasi yg di tentukan buah mangga ku sampe busuk,biasanya 4 hari sampe ke Lampung tapi bulan ini paketku udah 15 hari GK jalan2 mogok di bandar Lampung,ini yg salah pihak shope apa kurirnya ya kadang suka kesel. udah aku laporin ke cs shopee tetep GK berpengaruh, tapi sepertinya ini yg lelet cuma ke arah Lampung aja kayaknya. plis ya di perhatikan lagi😟"
Iskandar Zulkarnain,5,2026-05-10 07:12:42,tidak bisa login dengan nomor handphone.... mohon bantuannya.
Aning Brata,5,2026-05-10 07:10:59,bagus
Dean Karna,5,2026-05-10 07:09:56,"Shoope dapat memudahkan kita dalam berbelanja online,dan dapat diskon setiap hari nya, pokoknya shoope mantapp😎😎🔥🔥❤️❤️"
Supardi,5,2026-05-10 07:07:28,belanja di shopee banyak pilihan dan harga menarik
muhammad nasa,5,2026-05-10 07:06:04,sangat membantu dlm belanja online
M Hafiz,1,2026-05-10 07:05:12,"entah kenapa sekarang pengirimannya terasa lebih lambat, seperti memang di sengaja, apalagi pada barang yg sudah di bayar dahulu pengirimannya lebih lama dari pada barang yang cod, seperti barang yg di tunda di kirim ke daerah selajutnya, terutama di daerah Indragiri hilir Kateman, barang bisa nyangkut di situ berhari-hari bahkan sampai lewat estimasi baru di kirim, ntah kenapa ngerasa shopee ga kaya dulu yg pengiriman selalu cepat dan tepat waktu, sekarang terasa lambat. mohon utk diperbaiki lg"
Purnomo Sidi,1,2026-05-10 07:00:19,sekarang shope pengiriman lambat banget
Gilbert Situmorang,4,2026-05-10 06:59:10,DX ni
Nopi Lestari,2,2026-05-10 06:57:54,kenapa gak bisa cod
Lisa Aliza,5,2026-05-10 06:55:53,"pelayanan cepat, kurir sangat ramah"
Sulhi Rahmat,3,2026-05-10 06:53:27,shopee sekarang bener bener ngelag abisss
Siti Aisah,5,2026-05-10 06:52:37,"Alhamdulilah dengan adanya shopee memberikan kami kemudahan dalam membeli barang. yang kadang ada, tapi sulit untuk kami temukan. jadi shopee sangat-sangat membantu bagi kami ibu rumah tangga dan sekali gus sebagae UMKM dalam mencari keperluan-keperluan produk kami, terima kasiiih shopee, semoga semakin banyak cara atao ide dari shopee untuk meringankan kami yang sebagae konsumen🙏🙏"
Anthon Amex,3,2026-05-10 06:47:22,Banyak drama. ngirim dari KAB. Indramayu ke KEC. Jatibarang - KAB Indramayu. Harus muter-muter ke Cirebon dulu. Nggak jelas banget 🤣🤣🤣 Padahal masih satu KABUPATEN. Apa hubungannya coba ke Cirebon² 🤔🙄🤭 Shopee memang LUAR BIASA 👍🏻👍🏻👍🏻
Tri Widiyanto Tri Widiyanto,4,2026-05-10 06:46:33,"pantesan sekarang retingnya turun, soalnya pengiriman paketnya jadi lama, nga kek dulu lagi! dulu pling lama nyampe Lampung 4 udh d trima paketnya, nga kek sekarang 1 Minggu baru nyampe! pantesan aj kalah cpet sama toko sblh, tolong lah seperti dulu lagi"
Asaa,1,2026-05-10 06:46:26,"sebagai penjual sedih banget kalo paket asal diretur tanpa alasan , padahal pembeli belum nerima paketnya sama sekali , padahal ternyata paketnya hilang, kecewa bgt mana proses nya lama"
Suratno Jwk,5,2026-05-10 06:45:58,puas banget
debi Novian1125,5,2026-05-10 06:45:30,menarik apa bila dari layanan penjualan market shopee pey sebagai konsumen terbesar toko layanan terbaik di seluruh indonesia aset jual beli produk penjualan online terbaik bagi masyarakat saat ini.
Jaka Permana,5,2026-05-10 06:45:00,sangat membantu
M. Fadlo Robby,5,2026-05-10 06:43:21,Karna gw lagi ada rezeki trus pengen beli keperluan sekolah jadi gw download dulu ni apk untuk sementara. edit: nih udah gw tambahin
51GM4 B0Y,5,2026-05-10 06:42:04,mantap lee 🔥
Layyinatus Shafiyah AM,5,2026-05-10 06:41:55,"ini kenapa ya setiap saya mau mengajukan pinjaman di Shopee slalu di tolak padahal saya ga ada pinjam apa² bayar juga slalu jauh sebelum tempo udah 3 kali di tolak, tolong dong min di benerin lagi, masak nunggu bulan depan lagi"
Imam Balong,5,2026-05-10 06:41:31,belanja jadi mudah nyari barang ga harus keliling2.
Mobile Legend,1,2026-05-10 06:40:16,seeee. c xcvgggffffftt
Syarifah 30,5,2026-05-10 06:40:15,Masyallah bagus dan praktis untuk membeli kebutuhan barang pribadi
Eka Miswarita,5,2026-05-10 06:36:50,soppy the best
Abiwada Chanel,5,2026-05-10 06:35:45,barang sesuai dengan foto.... sekarang belanja di shoope barang nya bagus2
Febri Nuria Anna,5,2026-05-10 06:35:39,aku sukaaaa
Riki riki,5,2026-05-10 06:34:13,riki hanum
Kera Sakti,5,2026-05-10 06:31:47,Terimakasih gugel play atas aplikasih dan game yang kau berikan ke pada semuanya. Terima kasih.
Andi Ramdhani,5,2026-05-10 06:28:57,belanja hemat dengan potongan diskon
Astri 0925,4,2026-05-10 06:28:27,bgusssss mantappp
Darfin Gappa,5,2026-05-10 06:25:59,ok
nazril ilham,1,2026-05-10 06:25:07,jan ang spam iklan tu
Jalu Wardhana,5,2026-05-10 06:24:11,Baru pertama pakai Shopee 👍
Muhammad Imron,3,2026-05-10 06:17:07,"tolong shopee tingkatkan keamanan nya, soalnya saldo saya tanpa pengetahuan saya berkurang, itu ga sedikit 😭"
Tahany Syakira,5,2026-05-10 06:12:20,pkek bgt
Nur Arif,3,2026-05-10 06:10:53,"nggak tau kenapa makin lambat, beberapa kali pengiriman telat, baru tiga hari sudah di tangan kurir. apa ini ada kaitannya dengan masalah BBM dan selat Hormuz? jangankan paket telat bukan pre order, aplikasi aja lambat."
Yudi Bastian,5,2026-05-10 06:10:47,puas pakai shopee
Biksu Tang,5,2026-05-10 06:00:52,mantap banyak gratisan
Yariska Nadhifatul,5,2026-05-10 06:00:32,sangat bermanfaat
Robitoh Obit,4,2026-05-10 06:00:00,bgus banget apk shopee ak beli di tiktok sama di shopee murahan shopee jd bgus banget lahh
Senja Nopiana,5,2026-05-10 05:57:45,"cuma sekarang agak lambat pengiriman nya ya,,"
Nasrun,5,2026-05-10 05:57:40,aplikasinya bgus
Nur izzati Khodijah,5,2026-05-10 05:51:40,luar biasa
Nanazasaki Itsukayuzu (Nanayu),1,2026-05-10 05:50:00,saya sarankan jangan terima toko gak jelas contohnya seperti yang saya alami masa pesanan saya estimasi nya lama sekitar 1 bulan gila saya pesan barang tgl 5 mei eh pihak penjual membuat estimasi datang 12 - 15 Juni gokil tolong pihak shopee tolong bantu saya ini no pesanan saya 260505JWNRKNGX
Yusra ucok,5,2026-05-10 05:47:10,terimakasih
Deddi edwar,5,2026-05-10 05:46:09,is hot video
Elivia _yours,5,2026-05-10 05:44:24,ini aplikasi sangat bagus baru nge DOWNLOAD BELANJAAN LANG SUNG ADA YANG GERATIS
beni kbd,5,2026-05-10 05:40:50,good
Hamka Hamka,5,2026-05-10 05:37:39,👍🏻
Arkanza Rafaizan,5,2026-05-10 05:35:25,"shopee merupakan online shop yg sangat berkualitas, tokonya pada amanah, pelayan shopeenya sangat memuaskan. serta tidak bikin ribet, jika adh barang yg diretur proses muda ongkos di tanggung shopee."
pepep witarsa,5,2026-05-10 05:29:38,shopee amanah
Lela Hasanah,1,2026-05-10 05:22:09,"jika terlalu banyak pesanan, fitur COD hilang"
Sapto Prastiyo,5,2026-05-10 05:06:06,sangat bagus
Bonar Gultom,5,2026-05-10 05:05:06,ok
Syar Hanaida,5,2026-05-10 04:39:28,shopee is the best. sukses selalu
Intan Seftiana,5,2026-05-10 04:38:23,good
Nur aulia Bima,2,2026-05-10 04:23:27,ongkir mahal bgt
Gusdur Jayusman,5,2026-05-10 04:18:05,sippp mantap
Silviadwipransiska,5,2026-05-10 04:15:42,"terima kasih shopee telah memudahkan saya berbelanja barang di online, murah meriah, tapi saat cod di ongir itu terlalu mahal bahkan bisa 2× lipat dari harga barang yg dibeli, knp saya kasih bintang 5? karna biasanya bintang dibawah tidak dibaca"
Mas Udin,5,2026-05-10 03:34:06,wayu
Eri Han,2,2026-05-10 03:33:53,"Kenapa fitur ""blokir pengguna"" dihilangkan??? ""Laporkan pengguna"" bolak-balik nggak ada tindakan sama sekali!"
Mutya Ramadhani,1,2026-05-10 03:31:08,buat login ke akun sendiri susah
Maria Saturns,1,2026-05-10 03:24:39,kok ga bisa cod lg di hp lain
Agung 77,1,2026-05-10 03:21:27,"apa lah paylater ga bisa di pake. padahal kmrn"" aman. tau"" notif tgl skian trus udh smpe 1 bulan ga kena"
Al Ikram,5,2026-05-10 03:12:51,good job
Rifki Hidayatullah,1,2026-05-10 03:10:05,"sekarang datang nya lama nyampe 5hri, gak kaya dulu 2hri udh sampe🙏"
Fitria “La la heart” Zu,1,2026-05-10 03:01:07,"Najis bet ada limit cod nya, padahal selalu ku bayar tapi limit, ngapain coba pake limit cod? semenjak akun ku ga bisa cod aku ga pernah belanja di shopee lagi, terusin aja gitu biar ga banyak yang pakai shopee lagi"
MOHAMMAD RIFKI SENTOSA,2,2026-05-10 02:58:13,bagus sekali sqngqt puqs
Panji Setio,5,2026-05-10 02:57:43,bagus
Wahyu Sanjaya,5,2026-05-10 02:55:10,ok lah pokoknya
Gallround 9577,5,2026-05-10 02:51:15,sesuai harapan
Lum siah,1,2026-05-10 02:37:21,ka gimana si ini shope makin kesini makin kesana.. saya hapus aplikasi ini Shope terus saya download lagi gatau saya lg bleng malah saya bikin akun baru lagi.. nah saya cari cari baru ketemu tuh akun lama saya pas saya mau pesan via cod kenapa harus vertikasi terlebih dulu sama foto wajah dan ktp ribet amat padahal saya mau belanja loh shopee itu makin aneh saya mah.. dulu shpylater saya gara gara ga inget nomor sampe skrng daftar lagi gabisa padahal saya masih bagus pembayaran lancar tiap bulan
Fajar Romandhon,5,2026-05-10 02:32:47,baik
Riki Junaedi,5,2026-05-10 02:27:34,sangat bagus barang barang nyasemoga selalu seperti itu
Mas Han,4,2026-05-10 02:15:33,bintang 4 aja soalnya jarang di pake bagus si bagus🗿🤣
Hafidz Maulana Kamal,1,2026-05-10 02:10:54,buruk
yanu ari,5,2026-05-10 02:00:49,Ok bgt
Fahrul Ulum,5,2026-05-10 01:55:28,aplikasi yang sangat membantu
Budi Aja,5,2026-05-10 01:48:32,sangat baik dn aman..pastinya lengkap
Hanief Izhar,1,2026-05-10 01:41:57,bonus koin Saya tidak dapat padahal saya sudah memvideokan barang dengan ketentuan yang ada
Ifan ali Alfatani,4,2026-05-10 01:41:18,ok
Maman Suhaman,5,2026-05-10 01:40:36,Nice App nich sangat membantu saya
Risky Kiki,5,2026-05-10 01:31:21,sangat membantu saya dalam belanja online
Dhaifan adhha,1,2026-05-10 01:25:39,iklan kau meganggu kali
Ku Naon,5,2026-05-10 01:22:45,saya sangat percaya belanja d shopee karena dia bertanggung jawab terhadap konsumen terimakasih sudah membantu dan amanah nyah sukses selalu dan jaya terus semoga panjang umur dan berkah selalu
Muhammad Nurhusein,5,2026-05-10 01:21:28,"cm mau bilang...tolong lebih teliti dengan orang"" yg Masang iklan...karna masih banyak yg bermain"
Anita Rahmawati,1,2026-05-10 01:19:26,"oy shope iklan nya kurangin apa ganggu aja lagh enak""baca wp gk sentuh gk apa tiba'masuk aja ama apk ini kurangi lah :)plisss lah iklan blm ilang bikin kesel aja tau gk lama'uninstal nih"
Jaka Riya,5,2026-05-10 01:15:18,bagus
Ayu Soraya,5,2026-05-10 01:07:08,berguna sekali
secret 123,1,2026-05-10 01:04:36,iklan apknya maksa masuk mulu
Rahmat Hoirudin,1,2026-05-10 01:03:21,aplikasinya ngebug woi
Putri Asifa,5,2026-05-10 01:02:46,semoga jaya slalu
Sadam Sadam,5,2026-05-10 01:01:56,mantap
Asep Hilwan,5,2026-05-10 00:59:26,sangat baik dan cepat
Kevin adigalangkb,1,2026-05-10 00:55:15,APLIKASI BOBROK
Yhanaabdhy,5,2026-05-10 00:54:51,barangnya bagus bagus dan ori...terbaik
aLLtresno 84,5,2026-05-10 00:52:25,"Bagi saya sejauh ini shopee udah bagus dan baik bgt,saran aja buat shopee kalau bisa app shopeepay nya di gabung aja gak usah di pisahin app kan pungsinya sama aja ke shopee 2 juga jadi di hp nya gak kebanyakan apk. cukup shopee sama seabank aja. trimakasih"
Heri 87,5,2026-05-10 00:51:22,membantu
Muhamad Afrizal,3,2026-05-10 00:41:51,ini shopee ama shopeepay kenapa deh font nya sesuai ya tulisannya selalu kurang jadi titik titik belakangnya seolah ga muat
Bambang Setiawan (Bim_Bim),1,2026-05-10 00:41:24,"shopee pay later saya ga bisa lagi di pakai semenjak pernah telat bayar, padahal selalu di bayar biarpun suka telat karena gajian tanggal 30"
Akhmad Khisbullah,1,2026-05-10 00:32:40,"Menyakitkan difitnah kurir, bilang barang ditolak, ditolak apanya, ditungguin dari pagi sampe malam. liat status bilangnya ditolak pembeli. yang bener cari pegawai kurir. atau management nya aja yang bobrok"
Srikandi Srikandi,5,2026-05-10 00:31:31,saya senang blnja dishopee
Saman 123,5,2026-05-10 00:29:24,Berfungsi baik
Joni Saputra,5,2026-05-10 00:27:39,suka nonton live shopee karena banyak dapat bonus selain koin penjualan bnyk discon
Udi Nugroho,4,2026-05-10 00:26:03,cepet dan nggak ribet
Randi 123,1,2026-05-10 00:23:29,"senapan angin 4,5 bukan barang ilegal dan bebas digunakan di indonesia, kenapa shopie melarang pejualan senapan angin"
Maksum Busana,5,2026-05-10 00:22:07,pokonya luar biasa bermanfaat
M. Raihan,5,2026-05-10 00:19:20,"ok,,,,senang belanja di shopee."
Nanik Maulida,5,2026-05-10 00:12:49,DAPAT KEMUDAAN DALAM BELANJA JUGA DAPAT VOUCHER DAN GRATIS ONGKIR SEMOGA KEDEPANNYA SHOPEE TAMBAH SUKSES DAN MAJU JUGA MAKIN BANYAK PELANGGANNYA.
Pinky_sslime,5,2026-05-10 00:12:20,bgus bgt cocok banget
Diamante,1,2026-05-09 23:59:50,"shopee kurang"" in dong iklanmu diaplikasi lain. ganggu banget sumpah ga di klik juga malah kebuka"
Adikke Dikka,5,2026-05-09 23:55:55,membantu penjual kecil
GUNAWAN GUN,5,2026-05-09 23:55:33,sangat bermanfaat
Samsungin A55,1,2026-05-09 23:55:10,"Sistem yang buruk untuk shopee food sy pesan makanan dgn waktu pesanan di terima pukul 10.05 dengan jasa kirim prioritas tentunya, pukul 22.05 sy cek status pesanan bertulisan ""Resto masih menyiapkan pesanan"" sekitar 22.17 sy lihat kembali status pesanan dibatalkan dgn laporan driver yang membatalkan. sy benar benar kecewa atas pelayanan dengan sistem seperti ini harusnya kalian punya sisten yg lebih manusiawi utk case seperti ini. tidak ada kompensasi kerugian apapaun dr shopee, keterlaluan!"
Adrena Malika,5,2026-05-09 23:51:58,sangat bagus
Eka Pebriyawati,1,2026-05-09 23:50:33,"kalo bikin iklan tu tombol skip nya yang bener anjg masa di pencet mlah masuk aplikasi ny sok asik anjir ngeganggu bet ,mana benci bngt kemaren gw mesen paket di aplikasi brp pas datang brapa tolol emng"
Valerius Tukan (Varel),5,2026-05-09 23:49:58,kenapa dah iklan apk ni muncul tiba mau kerja tugas muncul iklan ini mulu Pusing cok lain kali iklanya dikurangi ya itu sj terimakasih
Risal 251197,5,2026-05-09 23:49:11,bisa di percaya
Ari Fadli,5,2026-05-09 23:45:59,terbaik
Fadila Fadila,1,2026-05-09 23:44:40,nihh guee kasih bintang satu supaya bisa jadi aplikasi Belanja nomor 1 di masa depan 😏😏😏👏👏😁😁🎉✨.
Jaka Wisesa,5,2026-05-09 23:43:53,sangat bagus
Jekson starsmpdsi (8463HVJSSMP),5,2026-05-09 23:43:46,oke bergabung facebook
Queenza Primadani,5,2026-05-09 23:42:58,mamta0p aj sih
prisca primantika,5,2026-05-09 23:41:52,mntap
Kolong Langit,1,2026-05-09 23:40:08,saya tidak bisa menghapus akun. Data saya adalah hak saya.
ricky ajja,5,2026-05-09 23:37:54,sangat suka banget sma shoppe paling bisa di percaya
Maftukhatul Fitriyah,3,2026-05-09 23:35:41,biasa saja sih. biaya layanannya makin mahal
Iqbal Mahyudi17051996,5,2026-05-09 23:35:04,Aplikasi bagus
Ria Febriyanti,5,2026-05-09 23:33:46,Sangat puas dengan layanan shopee
Neno Kusuma12,1,2026-05-09 23:30:37,potongan untuk seller semakin gila. shoppe pengen diboikotkah?
