content_cleaned,label
udah puluhan tahun menggunakan shopeepembayaranpengembalian semuanya amanbarang tidak sesuai tinggal kembalikan danadan shopee selalu membantu prosesnya ratusan barang udah dibeli sesuai kebutuhan,1.0
pakai aplikasi ini semuanya terjangkau banyak diskonvoucher harga bisa berkurang jika anda mengumpulkan koin dan pakai koin tsb best deh pokoknya,1.0
knp dah setiap mau bayar pake voucher lama bgt loadingnya padahal jaringan bagus jg,0.0
bagusssssssss,1.0
sebenarnya sih sudah bagus tapi kekurangan nya gabisa cod min alasannya alamat anda tidak mendukung cod,1.0
suka sekali belanja disinii,1.0
update yg baru bkin rese nunggu view product nya,0.0
paket gw lama kali datang nya ajg,0.0
shopy terpercaya amanah mantap,1.0
ini sih gila banget hub dan pengiriman di shopee super lama dibandingkan aplikasi lain makin ke sini paket sering ditahan padahal lokasi sudah dekat saya member platinum hampir tiap hari order di shopee dan berdasarkan pemantauan saya ternyata pengiriman paket selalu dipaskan  digabung dengan paket paling terakhir saya gila kalian tau gini saya order x aja di shopee biar pengirimannya gak ditunda kah itu maunya manajemen aneh mau efisiensi tapi merugikan pembeli,0.0
aneh beli tertulis haraga  ribu  trus di bawah total jd  ribu  eh pas sub total jd  ribu  semua itu di total dr mana kan tertulis harga  kok bisa ada tambahan lain  pdahal harus nya harga segitu  kalau di potong voucher  jd berkurang bnyk lho ada voucher  ribu dr toko  ada voucher dr diskon  ribu harus nya jd di bawah  ini malah jdi hampir   males di shopee skrng  bingung ngitung nya,0.0
shopy semakin kesini makin gak jelas barang sya sudah mau diantar ada aja kendalanya dan akhirnya dikirim lgi kembali ke toko,1.0
resah ini aplikasimengganggu dmna mana ada iklan,0.0
sangat membantu dan saya puas,1.0
sangat membantu saya dapet spaylater mantab,1.0
makin jelek shopee dari segi pelayanan jgn ditanya jelek bgt trs sekarang kenapa halaman notif diubah si dah bgs dipisah kanan kiri kiri untuk pembeli kanan untuk toko eh sekarang dicampur mana ga bisa dihapus lagi notif nya jadi bertumpuk,0.0
aplikasi ribet,0.0
shopee mantap pengiriman cepat,1.0
aplikasi belanja nomor  di indonesia krn kemudahan transaksinya tdk perlu belanja  ribu agar free ongkir didukung pembiayaan paylater yg bagus tdk mengenakan bunga jika dibayar bulan depannya beda sekali dgn gopay later  setelah update besar kemarin ada perubahan di status transaksi dan masih ada bug nya transaksi yg sdh lama selesai selalu muncul notifikasi akan dikirim hari ini terus,1.0
aplikasi terburuk paket gak dateng dateng ujung ujungnya tanpa pemberitahuan diretur udah  kali kejadian mending gak usah pakai shopee kalo gak niat kirim gak usah nawarin jasa kirim kalo ujung ujungnya bikin kecewa,0.0
mantap,1.0
bagusss bangeeet,1.0
kurirnya yang kerja di spx sokobanah hub tidak ada konfirmasidan paket di retur tanpa adanya konfirmasi terlebih dahulu,0.0
iklan mengganggu dipaksa buka aplikasi iklannya juga lama tidka bisa diskip,0.0
lebih baik dari sebelah,1.0
good,1.0
main shopee koin udh dpt nya kecil dpt susah juga mending di hapus aja,0.0
so good,1.0
keren,1.0
good,1.0
saya senang berbelanja di shopeeharga terjangkau dan cepat pengiriman nya,1.0
best,1.0
banyak yang tak sesuai,0.0
makin kedepan shopeemakin super lelet pengantarannyaharus nunngu seminggu baru sampai paket nyabikin kecewa pelanggan kalo terus seperti ini,0.0
mudan dan enak belanja,1.0
mantap,1.0
biaya pelayanan terlalu besar,0.0
ragam barang termasuk it dan inovasi yang lengkap dengan harga mix yang seperti diobral dalam mempertahankan user dan penjual cerdas,1.0
kenapa di bulan ini pesanan saya banyak yang stuck bahkan sampe telat melebihi estimasi yg di tentukan buah mangga ku sampe busukbiasanya  hari sampe ke lampung tapi bulan ini paketku udah  hari gk jalan mogok di bandar lampungini yg salah pihak shope apa kurirnya ya kadang suka kesel udah aku laporin ke cs shopee tetep gk berpengaruh tapi sepertinya ini yg lelet cuma ke arah lampung aja kayaknya plis ya di perhatikan lagi,1.0
tidak bisa login dengan nomor handphone mohon bantuannya,1.0
bagus,1.0
shoope dapat memudahkan kita dalam berbelanja onlinedan dapat diskon setiap hari nya pokoknya shoope mantapp,1.0
belanja di shopee banyak pilihan dan harga menarik,1.0
sangat membantu dlm belanja online,1.0
entah kenapa sekarang pengirimannya terasa lebih lambat seperti memang di sengaja apalagi pada barang yg sudah di bayar dahulu pengirimannya lebih lama dari pada barang yang cod seperti barang yg di tunda di kirim ke daerah selajutnya terutama di daerah indragiri hilir kateman barang bisa nyangkut di situ berharihari bahkan sampai lewat estimasi baru di kirim ntah kenapa ngerasa shopee ga kaya dulu yg pengiriman selalu cepat dan tepat waktu sekarang terasa lambat mohon utk diperbaiki lg,0.0
sekarang shope pengiriman lambat banget,0.0
dx ni,1.0
kenapa gak bisa cod,0.0
pelayanan cepat kurir sangat ramah,1.0
alhamdulilah dengan adanya shopee memberikan kami kemudahan dalam membeli barang yang kadang ada tapi sulit untuk kami temukan jadi shopee sangatsangat membantu bagi kami ibu rumah tangga dan sekali gus sebagae umkm dalam mencari keperluankeperluan produk kami terima kasiiih shopee semoga semakin banyak cara atao ide dari shopee untuk meringankan kami yang sebagae konsumen,1.0
pantesan sekarang retingnya turun soalnya pengiriman paketnya jadi lama nga kek dulu lagi dulu pling lama nyampe lampung  udh d trima paketnya nga kek sekarang  minggu baru nyampe pantesan aj kalah cpet sama toko sblh tolong lah seperti dulu lagi,1.0
sebagai penjual sedih banget kalo paket asal diretur tanpa alasan  padahal pembeli belum nerima paketnya sama sekali  padahal ternyata paketnya hilang kecewa bgt mana proses nya lama,0.0
puas banget,1.0
menarik apa bila dari layanan penjualan market shopee pey sebagai konsumen terbesar toko layanan terbaik di seluruh indonesia aset jual beli produk penjualan online terbaik bagi masyarakat saat ini,1.0
sangat membantu,1.0
karna gw lagi ada rezeki trus pengen beli keperluan sekolah jadi gw download dulu ni apk untuk sementara edit nih udah gw tambahin,1.0
mantap lee,1.0
ini kenapa ya setiap saya mau mengajukan pinjaman di shopee slalu di tolak padahal saya ga ada pinjam apa² bayar juga slalu jauh sebelum tempo udah  kali di tolak tolong dong min di benerin lagi masak nunggu bulan depan lagi,1.0
belanja jadi mudah nyari barang ga harus keliling,1.0
seeee c xcvgggffffftt,0.0
masyallah bagus dan praktis untuk membeli kebutuhan barang pribadi,1.0
soppy the best,1.0
barang sesuai dengan foto sekarang belanja di shoope barang nya bagus,1.0
aku sukaaaa,1.0
riki hanum,1.0
terimakasih gugel play atas aplikasih dan game yang kau berikan ke pada semuanya terima kasih,1.0
belanja hemat dengan potongan diskon,1.0
bgusssss mantappp,1.0
ok,1.0
jan ang spam iklan tu,0.0
baru pertama pakai shopee,1.0
pkek bgt,1.0
puas pakai shopee,1.0
mantap banyak gratisan,1.0
sangat bermanfaat,1.0
bgus banget apk shopee ak beli di tiktok sama di shopee murahan shopee jd bgus banget lahh,1.0
cuma sekarang agak lambat pengiriman nya ya,1.0
aplikasinya bgus,1.0
luar biasa,1.0
saya sarankan jangan terima toko gak jelas contohnya seperti yang saya alami masa pesanan saya estimasi nya lama sekitar  bulan gila saya pesan barang tgl  mei eh pihak penjual membuat estimasi datang    juni gokil tolong pihak shopee tolong bantu saya ini no pesanan saya jwnrkngx,0.0
terimakasih,1.0
is hot video,1.0
ini aplikasi sangat bagus baru nge download belanjaan lang sung ada yang geratis,1.0
good,1.0
,1.0
shopee merupakan online shop yg sangat berkualitas tokonya pada amanah pelayan shopeenya sangat memuaskan serta tidak bikin ribet jika adh barang yg diretur proses muda ongkos di tanggung shopee,1.0
shopee amanah,1.0
jika terlalu banyak pesanan fitur cod hilang,0.0
sangat bagus,1.0
ok,1.0
shopee is the best sukses selalu,1.0
good,1.0
ongkir mahal bgt,0.0
sippp mantap,1.0
terima kasih shopee telah memudahkan saya berbelanja barang di online murah meriah tapi saat cod di ongir itu terlalu mahal bahkan bisa  lipat dari harga barang yg dibeli knp saya kasih bintang  karna biasanya bintang dibawah tidak dibaca,1.0
wayu,1.0
kenapa fitur blokir pengguna dihilangkan laporkan pengguna bolakbalik nggak ada tindakan sama sekali,0.0
buat login ke akun sendiri susah,0.0
kok ga bisa cod lg di hp lain,0.0
apa lah paylater ga bisa di pake padahal kmrn aman tau notif tgl skian trus udh smpe  bulan ga kena,0.0
good job,1.0
sekarang datang nya lama nyampe hri gak kaya dulu hri udh sampe,0.0
najis bet ada limit cod nya padahal selalu ku bayar tapi limit ngapain coba pake limit cod semenjak akun ku ga bisa cod aku ga pernah belanja di shopee lagi terusin aja gitu biar ga banyak yang pakai shopee lagi,0.0
bagus sekali sqngqt puqs,0.0
bagus,1.0
ok lah pokoknya,1.0
sesuai harapan,1.0
ka gimana si ini shope makin kesini makin kesana saya hapus aplikasi ini shope terus saya download lagi gatau saya lg bleng malah saya bikin akun baru lagi nah saya cari cari baru ketemu tuh akun lama saya pas saya mau pesan via cod kenapa harus vertikasi terlebih dulu sama foto wajah dan ktp ribet amat padahal saya mau belanja loh shopee itu makin aneh saya mah dulu shpylater saya gara gara ga inget nomor sampe skrng daftar lagi gabisa padahal saya masih bagus pembayaran lancar tiap bulan,0.0
baik,1.0
sangat bagus barang barang nyasemoga selalu seperti itu,1.0
bintang  aja soalnya jarang di pake bagus si bagus,1.0
buruk,0.0
ok bgt,1.0
aplikasi yang sangat membantu,1.0
sangat baik dn amanpastinya lengkap,1.0
bonus koin saya tidak dapat padahal saya sudah memvideokan barang dengan ketentuan yang ada,0.0
ok,1.0
nice app nich sangat membantu saya,1.0
sangat membantu saya dalam belanja online,1.0
iklan kau meganggu kali,0.0
saya sangat percaya belanja d shopee karena dia bertanggung jawab terhadap konsumen terimakasih sudah membantu dan amanah nyah sukses selalu dan jaya terus semoga panjang umur dan berkah selalu,1.0
cm mau bilangtolong lebih teliti dengan orang yg masang iklankarna masih banyak yg bermain,1.0
oy shope iklan nya kurangin apa ganggu aja lagh enakbaca wp gk sentuh gk apa tibamasuk aja ama apk ini kurangi lah plisss lah iklan blm ilang bikin kesel aja tau gk lamauninstal nih,0.0
bagus,1.0
berguna sekali,1.0
iklan apknya maksa masuk mulu,0.0
aplikasinya ngebug woi,0.0
semoga jaya slalu,1.0
mantap,1.0
sangat baik dan cepat,1.0
aplikasi bobrok,0.0
barangnya bagus bagus dan oriterbaik,1.0
bagi saya sejauh ini shopee udah bagus dan baik bgtsaran aja buat shopee kalau bisa app shopeepay nya di gabung aja gak usah di pisahin app kan pungsinya sama aja ke shopee  juga jadi di hp nya gak kebanyakan apk cukup shopee sama seabank aja trimakasih,1.0
membantu,1.0
shopee pay later saya ga bisa lagi di pakai semenjak pernah telat bayar padahal selalu di bayar biarpun suka telat karena gajian tanggal,0.0
menyakitkan difitnah kurir bilang barang ditolak ditolak apanya ditungguin dari pagi sampe malam liat status bilangnya ditolak pembeli yang bener cari pegawai kurir atau management nya aja yang bobrok,0.0
saya senang blnja dishopee,1.0
berfungsi baik,1.0
suka nonton live shopee karena banyak dapat bonus selain koin penjualan bnyk discon,1.0
cepet dan nggak ribet,1.0
senapan angin  bukan barang ilegal dan bebas digunakan di indonesia kenapa shopie melarang pejualan senapan angin,0.0
pokonya luar biasa bermanfaat,1.0
oksenang belanja di shopee,1.0
dapat kemudaan dalam belanja juga dapat voucher dan gratis ongkir semoga kedepannya shopee tambah sukses dan maju juga makin banyak pelanggannya,1.0
bgus bgt cocok banget,1.0
shopee kurang in dong iklanmu diaplikasi lain ganggu banget sumpah ga di klik juga malah kebuka,0.0
membantu penjual kecil,1.0
sangat bermanfaat,1.0
sistem yang buruk untuk shopee food sy pesan makanan dgn waktu pesanan di terima pukul  dengan jasa kirim prioritas tentunya pukul  sy cek status pesanan bertulisan resto masih menyiapkan pesanan sekitar  sy lihat kembali status pesanan dibatalkan dgn laporan driver yang membatalkan sy benar benar kecewa atas pelayanan dengan sistem seperti ini harusnya kalian punya sisten yg lebih manusiawi utk case seperti ini tidak ada kompensasi kerugian apapaun dr shopee keterlaluan,0.0
sangat bagus,1.0
kalo bikin iklan tu tombol skip nya yang bener anjg masa di pencet mlah masuk aplikasi ny sok asik anjir ngeganggu bet mana benci bngt kemaren gw mesen paket di aplikasi brp pas datang brapa tolol emng,0.0
kenapa dah iklan apk ni muncul tiba mau kerja tugas muncul iklan ini mulu pusing cok lain kali iklanya dikurangi ya itu sj terimakasih,1.0
bisa di percaya,1.0
terbaik,1.0
nihh guee kasih bintang satu supaya bisa jadi aplikasi belanja nomor  di masa depan,0.0
sangat bagus,1.0
oke bergabung facebook,1.0
mamtap aj sih,1.0
mntap,1.0
saya tidak bisa menghapus akun data saya adalah hak saya,0.0
sangat suka banget sma shoppe paling bisa di percaya,1.0
aplikasi bagus,1.0
sangat puas dengan layanan shopee,1.0
potongan untuk seller semakin gila shoppe pengen diboikotkah,0.0
tolong untuk shopeenama kurir saat pengiriman di cantumkanjadi bsa komplain ke bagian kurirnya langsung tau nama kurir yg bermasalahjgn menjadikan pelanggan susah untuk klaim pada kurir,1.0
gak oernah belanja kemana mana lagi hanya di shopee sekarangtinggal tap tap uda dtg dehterimakasih shopee,1.0
pop up iklan terlalu banyak,0.0
wow,1.0
shoppe sekarang mengecewakan,0.0
diskon sedikit,1.0
mungkin thn ini sudah beralih ke shopee dari bbrp market place lian yg sudah saya pakai sebelumnya bertahun² semoga semakin shopee kedepannya spaylaternya jg mungkin vs diperbaiki,1.0
belanja online paling lengkap dan murah,1.0
dikirim sesuai pesanan,1.0
mantap bisa belanja dg free ongkir,1.0
bagus mempermudah belanja kita,1.0
mantap jiwa,1.0
aplikasi shopee tidak bisa akses hanya ada tulisan shopee dan tidak bisa masuk ke aplikasinya mohon segera diperbaiki,0.0
sangat bermanfaat,1.0
sangaat membantu,1.0
sejauh ini shopi makin baik mudah di gunakan dan lancar lancar sajasangat membantu buat yg male keluar rumah tinggal pesan barang datang,1.0
kali beli barang lwat apps ini lebih dari  bulan ternyata uang ilang barang tak kujung dtang dan ikelan di apps lain bikin kesel ndak bisa disekip dan tanpa durasi,0.0
barang yg saya pesan sesuai yg saya terima,1.0
selama ada shopee yang super top makin gampang dan cepat aku berbelanja semoga shopee makin maju dan selalu banyak diskon dan potongan harga nya semangat shopee,1.0
bagus,1.0
sangat puas,1.0
pengalaman sy banyak,1.0
ok,1.0
aplikasi delay mulu mencet keranjang dan lain lain nge frame dulu sedangkan nge scoll down task bar hp lamcar aja lancar berarti bukan hp nya dong,1.0
bagus,1.0
nice,1.0
baik,1.0
baguss,1.0
bagus,1.0
sangat baikkk,1.0
hmmmgimana ya biar kritik ini bener bener di baca dan di terapkanshopee fooddi lapak nya tertera jarak kmsetelah mau di cek outjarak nya jadi  km  gila  berat banget kayak nya jadi jujur buat hal kecil ajadi sudut manadi hal apa hidup ini untuk bisa nemu secuil saja kejujuran,0.0
pelayanan buruk,0.0
bagus bngtt aplikasi ya murahgratis ongkir seru bngt belanja disini,1.0
aplikasi bagus sangat membantu  dan bnyak gratis ongkirnya,1.0
memuaskan,1.0
ga bagus update lokasi lama nyusahin,0.0
tidak layak,0.0
sangat baik tpi masih ada barang yg ga sesuai pesan tolong di perbaiki lagi,1.0
lanjutkan mantap,1.0
ketika keadaan darurat sangat berguna terimakasih spaylater,1.0
keren,1.0
karena membuka shoppe sangat lemot lebih dari  menit jadi saya tidak bisa kasih bintang fuul,1.0
buat fitur untuk blokir akunakun php hoby ngefixs barang saat live tapi gak mampu beli alias payment supaya seller dijauhkan dari manusiamanusia tdk bertanggungjawab,1.0
bagusterpercaya,1.0
cuma minta bnyakin lagi discont nya minmakasih,1.0
alfatihah,1.0
apk sangat baik dan aman terpercaya,1.0
sesuk harapan,1.0
tdk beres pengiriman barang pesanantidak jelas bertele tele,0.0
untuk pihak shoope mohon di filter lagi yang aman untuk kreator akun saya ternonaktifkannya barang dan jasa yang dilarang itupun postingan saya yang kurang lebih  bulan   kalau memang jasa yang dilarang kenapa affiliator yg kena imbasnya tokonya aman aman saja  bulan berkreasi di affiliator tumbang karena hal tersebut,0.0
sangat membantu dalam bisnis saya belanja cepat mudah dan terpercaya,1.0
belanja mudah dan praktis,1.0
membantu meningkatkan pendapatan konsumen,1.0
keren,1.0
udah berapa kali paket di bikin muter muter aja  di tambah pengiriman nya lebih dari estimasi,0.0
tepat waktu kurir sopan,1.0
sopi memang terbaik,1.0
aplikasi sampah lupa kata sandi ingin ubah dengan verifikasi lewat email malah di alihkan ke nomor yg sudah tidak aktif,0.0
sejak gabung dengan spx performance nya jadi burukk dalam segi pengantaran barang,0.0
sangat menyesal pengajuan return uang gk kmbli gk adil shope,0.0
ok,1.0
jadi mudah untuk berbelanja,1.0
udah bagus menunggu loadingnya gak pakek lama  teimakasih,1.0
alhamdulillah amanah,1.0
shopefood dobel order triple order kasian driver,0.0
sukses selalu,1.0
shopee emang yg terbaik tp kok knp loading nya lelet bnget y,1.0
kurir jelek,0.0
saya suka,1.0
buat shopee tolong di perketat tentang akun shopee yang coba mau masuk tanpa izin,1.0
bagus gara² sda sopi jadi gaperlu keluar rumah,1.0
shopee the best lah,1.0
sangat membantu,1.0
ok,1.0
bantu iya,1.0
aplikasi shopee nya sangat membantu sekali disaat mencari barang selalu ada dan lengkap terima kasih shopee sudah membantu sesuai kebutuhan yg diperlukan semoga aplikasi ini tambah pengguna sekian dan terima kasih,1.0
ok,1.0
digunakan hemat shope sdh oi,1.0
sangat kecewa dengan shopee akun saya gak bisa di hapus,0.0
shopee sekarang susah buat oengembalian barang udah jelas jelas ga sesuai eh malah di batalkan terus balikin lagi fitur kaya dl biar langsung bisa,0.0
barang sesuai dengan tgl kedatangan nyaaman sampai tujuan josss,1.0
aplikasi ini sangat cepat pengiriman nya,1.0
sukakik,1.0
mantap aplikasi idamanku beda dengan apk sebelah udah mahal return barang ribet dan mulai bisa belanja pakai qris barangnya pun sangat bagus dan terbaik top lah,1.0
keren,1.0
shopee dapat memenuhi pilihan saya,1.0
iklannya di mnashopee ganggu bnget,0.0
banyak yang bilang apk ini bagus ya saya ngikut aja dulu,1.0
shopee lite dong aplikasi shopee tokopedia blibli lazada whatsapp makan memori lah,0.0
kenapa yah kalo iklan di aplikasi lain terus udah di pencet tanda silang tetep masuk ke shopee terus di apk shopee nya ngelag patah patah kayanya server nya bobrok nih shopee,0.0
parah blanja di shoppee sekarang blanja  barang datang telat semua  hari masih kurang  lelet kalian spx lemah,0.0
the best,1.0
recommend belanja online,1.0
aplikasi yang super lengkap  banyak promo nyamantappterimakasih,1.0
praktis,1.0
keren,1.0
sangat cocok,1.0
tolong bilangin ke gudang cirebon dc knpa paket suka bgt stuck berhari hari di situ sumpah idiot bgt tuh cirebon dc,0.0
banyak penjual yang pakai video produk orang lain jadi bikin banyak yang ketipu seller banyak yang gak amanah dan banyak yang nipu juga tolonglah shopee udah beberapa kali aku kena seller yang gak amanah rugi banyak ini,0.0
mempermudah segala urusan kalo untuk urusan belanjapokonya buat apknya terimakasih banyak telah meringankan warga indonesia terkususnya aku pribadi sekali lagi makasih,1.0
shop yg menipu tolong di black lis,1.0
sekarang shopee pengiriman nya lama banget udah hubungi cs nya tapi tetep aja proses nya ga dipercepat padahal lagi butuh banget,1.0
sangat bagus dan terbaik selalu shoppe,1.0
pokok nya serba mantap,1.0
saya sudah mengirim dari whatsapp dan messenger tapi tidak ada balasan satu pun,0.0
bagus,1.0
pelayanan bagus sayangnya untuk pengiriman spx banyak yg bermasalah,1.0
di percaya,1.0
shopee indonesis satunya apk belanja online yg sukai,1.0
melalui shopeeterjamin,1.0
manteb bgt,1.0
sangat mudah untuk ber belanja barangnya pun sesuai seperti yg kita inginkan,1.0
terus jaga kualitas dan pelayanan,1.0
jika pesanan di batalkan sudah masuk waktu pasti akan di tolak seller seharus tombol batalkan pesanan di non aktifkan saja,1.0
bagus aplikasi nya top bisa belanja apapun deh bagus,1.0
aplikasi membantu berbelanja,1.0
sangat membantu,1.0
serasa di bikin jebakanmau co di official apr asli dg harga murah ga bisagiliran udah bisa co mlh di batalin secara sepihakgiliran toko rating rendah mudah bgtmakin kesini mlh makin ga jelaskecewa bgt,0.0
sangat membantu uuuuu i loveeeeee shopee,1.0
pihak shopee ngak mau bertanggung jawab soal peraturan barang dibilangnya bukti tidak lengkap ngak mau berfihak ke pembeli lebih berfihak ke penjual,0.0
sudah melunasi tagihan tapi playlater tetap di bekukan lama sekali  sangat mengecewakan,0.0
shopee memiliki dampak positif dan negatifshoppe memudahkan masyarakat untuk berbelanja dengan alat digital tanpa harus ke toko shoppe juga menyediakan berbagai barang dengan harga beragamselain itushopee juga membuka lapangan kerja bagi masyarakat namun aplikasi ini jika di gunakan berlebihan dapat memicu kecanduan dan borosaplikasi ini juga berresiko penipuan dan barang tidak sesuai gambar,1.0
kalo baru download bnyk bgt brg yg rp suka bgttt shoppe food jg penting bgt di aku cm jrg ada peromo,1.0
apl nya cukup membantu trimakasih,1.0
bagus banget,1.0
shopee yang terbaik,1.0
bermanfaat,1.0
benci bgt gua tiap buka shopee selalu masuk ke video jadi ngelek hp gua,0.0
beli apa pun ada disini jangan ragu buat belanja d shopee,1.0
aplikasi bagus memudahkan kita yang malas belanja sendiri jadi terbantu dengan adanya shoppe tapi saya mau ngasih saran kalau bisa sih temanya tambahkan warna hitam ga warna putih aja karena terlalu cerah kalau gelapgelapan buka aplikasi shopee bisa menambah minus mata saya,1.0
sangat baik,1.0
saya kecewa dinonaktifkannya akun affiliate dengan alasan barang dan jasa yang di larang  dari sini saya paham berarti saya terperangkap mohon di filter lagi agar tidak ada korban lagi udah cukup aku saja yang terperangkap yang lain jangan sampai seperti saya ya,0.0
jadi ga ngotak sekarang,0.0
langsung aja dc kabupaten cirebon kek ga niat kerja  berkali kali paket kalo drop di kabupaten cirebon di pendem  hari ga di urus mending lu pada resign kalo ga niat kerja,0.0
puas,1.0
saran saya jangan pake shopee pay  sea bank karena mereka bisa ambil uang kalian seperti saya yang saldo sea bank saya sebesar  jt tiba di lakukan transaksi untuk pembayaran google play padahal bukan saya yang transaksi padahal saya setiap transaksi pasti verifikasi x yaitu password dan verifikasi wajah saya sudah lapor ke cs tapi jawabannya malah kami tidak tahu apa jangan jangan ini permainan karyawan shopee pay  sea bank sendiri yang,0.0
biaya penanganan apalah shopee koncol,1.0
kak tolong lah ya pilihan cod nya dibuka udah  bulan lebih ga dibuka udah saya coba hubungi ke choki atau cs tapi sama aja dia bilang masalahnya selesai tapi ga ada hasilnya,0.0
payah,0.0
good luck,1.0
kesel dikit,1.0
,1.0
ok bgt,1.0
bintang berbicara saran kalau bisa sistem pengiriman jangan di ajak muter dong langsung aja dari kota penjual ke kota pembeli buat meminimalisir resiko kerusakan barang akhir ini sistem pengiriman sering muter nggak jelas belum lagi tanggal estimasi yang tidak pasti berubahrubahmakin lama sampainya intinya shopee sudah tidak secepat dulu dalam pengiriman maaf bintang saya kurangi satu kalau makin parah maaf saya bakalan kurangi lagi saya pengguna aplikasi ini sudah lama,1.0
bagus,1.0
puas,1.0
berguna,1.0
jempol pokoknya,1.0
semenjak ada sopi yang tadi nya ke tiktok ke sopi,1.0
gausah tercantum penawaran murah shopee deals kalo ujungnya kita sama aja bayar dengan harga nominal awal,0.0
okeh,1.0
sangat puas,1.0
sangat membantu untuk memenuhi kebutuhan sehari,1.0
shopee semakin didepan,1.0
iklan barang slalu real  gratis ongkir  respotn cepat,1.0
kenapa akhirakhir ini pesanan lama banget sih bukan cuma saya tapi semua temen saya paketnya pada stuck di bekasi  hari gak jalan jalan juga paketnya,0.0
keren,1.0
iklan nya yang muncul di layar sangat mengganggu,0.0
puas,1.0
ok,1.0
josjis tolong banyakin voucher diskon biar ga mahal untuk kaum bawah,1.0
bagus belanja jadi mudah dan cepat,1.0
terimakasih sangat membantu,1.0
apk gk jelas jir gaada koneksi internet mulu padahal wifi di rumah gk lag sma sekali,0.0
bagus,1.0
ga bisa daftar sama nomor lama,1.0
biasanya tidak ada siaran live atau video bikin hp sangat lemot saya kasih saran hilangkan siaran live atau video,0.0
aplikasi shopee sangat bagus,1.0
kasih keterangan dong kalau toko sedang tutup atau jangan tampil di beranda dulu selama gak beroperasi biar gak ada salah paham secara ini kan berbelanja via online masa harus tahu jadwal buka toko,1.0
di shopee blanja murahbanyak voucher,1.0
belanja online lengkap,1.0
baru coba,1.0
shopee sekarang makin banyak voucher makin sukak dehhhh,1.0
mantap,1.0
shopee keren mempermudah segala keinginan menjadi kenyataan,1.0
